# T        <M>         <E>           chi            C            frac_acept
  1.5500     0.98361289    -1.94126224     0.18300394     1.24582190     0.01630459
  1.5520     0.98340089    -1.94064795     0.19101880     1.26357003     0.01656242
  1.5540     0.98292267    -1.93891999     0.19369032     1.32381475     0.01688115
  1.5560     0.98308133    -1.93960627     0.19546169     1.32274761     0.01690738
  1.5580     0.98252578    -1.93787471     0.20458839     1.32599441     0.01711142
  1.5600     0.98240356    -1.93727199     0.20782476     1.35130036     0.01729368
  1.5620     0.98255956    -1.93775650     0.19817051     1.33368448     0.01728168
  1.5640     0.98203689    -1.93610672     0.20530842     1.34005881     0.01752128
  1.5660     0.98237778    -1.93719913     0.19695061     1.33047597     0.01753840
  1.5680     0.98203200    -1.93619288     0.20066802     1.29160549     0.01776511
  1.5700     0.98211244    -1.93627290     0.20689142     1.33588452     0.01783379
  1.5720     0.98203911    -1.93609872     0.20140381     1.30063222     0.01788358
  1.5740     0.98175333    -1.93508538     0.21437264     1.37511945     0.01801205
  1.5760     0.98157689    -1.93470757     0.22657393     1.45345041     0.01819097
  1.5780     0.98117422    -1.93351552     0.22014439     1.32036516     0.01855193
  1.5800     0.98129600    -1.93383466     0.21514349     1.30681355     0.01855260
  1.5820     0.98115956    -1.93312799     0.21195613     1.38676339     0.01855282
  1.5840     0.98092178    -1.93231028     0.22776007     1.45715376     0.01878531
  1.5860     0.98086756    -1.93227915     0.22224781     1.39900764     0.01896201
  1.5880     0.98037200    -1.93069417     0.22151673     1.34468062     0.01913516
  1.5900     0.98019200    -1.93029063     0.24260362     1.45603630     0.01949701
  1.5920     0.98042533    -1.93092889     0.23622763     1.42787148     0.01943989
  1.5940     0.98025778    -1.93029423     0.23148432     1.43633916     0.01941766
  1.5960     0.97946667    -1.92806485     0.24345351     1.44378694     0.02012269
  1.5980     0.97958089    -1.92801960     0.23151203     1.41971545     0.02002445
  1.6000     0.97917644    -1.92688442     0.24742690     1.49982163     0.02036696
  1.6020     0.97945067    -1.92781514     0.25295194     1.50728904     0.02019515
  1.6040     0.97904044    -1.92636447     0.23972883     1.45961345     0.02055100
  1.6060     0.97956178    -1.92808000     0.23287582     1.42204253     0.02012603
  1.6080     0.97913644    -1.92645070     0.24177169     1.48663294     0.02067747
  1.6100     0.97926267    -1.92690583     0.24309301     1.47394271     0.02065435
  1.6120     0.97851822    -1.92456087     0.25460134     1.55074406     0.02106243
  1.6140     0.97877600    -1.92559376     0.24634817     1.45347284     0.02096397
  1.6160     0.97833644    -1.92411383     0.24082250     1.46275156     0.02130471
  1.6180     0.97841689    -1.92417686     0.24530363     1.47058280     0.02125736
  1.6200     0.97774356    -1.92242665     0.30716650     1.63733653     0.02183926
  1.6220     0.97765778    -1.92175912     0.26572553     1.54608622     0.02200751
  1.6240     0.97711156    -1.92017161     0.27210819     1.57216904     0.02225490
  1.6260     0.97780533    -1.92227468     0.27123775     1.58090107     0.02196728
  1.6280     0.97705644    -1.92017684     0.26823752     1.53549647     0.02238470
  1.6300     0.97656533    -1.91867109     0.28597284     1.60615823     0.02286257
  1.6320     0.97628222    -1.91771294     0.29121764     1.62952885     0.02312818
  1.6340     0.97661600    -1.91862661     0.28537495     1.61739259     0.02301794
  1.6360     0.97640489    -1.91853333     0.33293694     1.72310205     0.02285813
  1.6380     0.97629289    -1.91761694     0.28208825     1.63168116     0.02320331
  1.6400     0.97603378    -1.91681953     0.28232219     1.60994293     0.02349603
  1.6420     0.97595600    -1.91631649     0.28855455     1.69539270     0.02367985
