# T        <|M|>         <E>           chi            C
  1.5500     0.98300963    -1.93917926     0.11258023     0.77646825
  1.5707     0.98214148    -1.93649778     0.11398035     0.76058015
  1.5914     0.98014963    -1.92997926     0.13267362     0.82875869
  1.6121     0.97810370    -1.92384000     0.15873087     0.88515554
  1.6328     0.97749259    -1.92083259     0.15437813     0.91178577
  1.6534     0.97513185    -1.91390222     0.19453439     1.05521743
  1.6741     0.97285481    -1.90713333     0.21536413     1.08993574
  1.6948     0.97045778    -1.89941037     0.22910344     1.13201145
  1.7155     0.96836444    -1.89303259     0.23905711     1.15737621
  1.7362     0.96650889    -1.88606222     0.24163982     1.20142808
  1.7569     0.96316444    -1.87731111     0.28116358     1.24910824
  1.7776     0.96024593    -1.86901185     0.35312031     1.45767291
  1.7983     0.95673630    -1.86043259     0.47377766     1.55844574
  1.8190     0.95471852    -1.85266519     0.40317001     1.55347111
  1.8397     0.95118593    -1.84205926     0.43654931     1.66676112
  1.8603     0.94536148    -1.82910519     0.57026652     1.73827553
  1.8810     0.94173333    -1.81873185     0.56278524     1.71457047
  1.9017     0.93811407    -1.80874222     0.64850447     1.95133828
  1.9224     0.93323778    -1.79736889     0.70028292     1.85166230
  1.9431     0.92948519    -1.78611259     0.76578374     2.01968873
  1.9638     0.92252963    -1.76939407     0.96704698     2.13587894
  1.9845     0.91361185    -1.75391111     1.34796795     2.35121444
  2.0052     0.90438889    -1.73800593     1.96883292     2.64820917
  2.0259     0.90298074    -1.72542074     1.44484258     2.52203160
  2.0466     0.89611556    -1.71085926     1.70439023     2.69308742
  2.0672     0.88238074    -1.68983259     2.14794834     2.90887539
  2.0879     0.87240815    -1.67187556     2.68803096     3.10239820
  2.1086     0.87146963    -1.66201481     2.54261979     3.28242865
  2.1293     0.86013185    -1.64025333     2.20881070     3.05278215
  2.1500     0.83277111    -1.60325778     3.73484654     3.40060037
  2.1500     0.83364000    -1.60700689    39.77574492    26.32888292
  2.1658     0.81273533    -1.58424067    66.41916867    29.07596683
  2.1816     0.80758556    -1.57333222    68.43368695    29.56911280
  2.1974     0.79373167    -1.55243933    65.48656505    29.47571420
  2.2132     0.78050356    -1.53504844    71.45705667    30.78058961
  2.2289     0.76130778    -1.51060511    94.90770627    31.09424433
  2.2447     0.68172067    -1.46209133   267.11907084    41.05111774
  2.2605     0.69414156    -1.45546644   199.98765656    38.96968899
  2.2763     0.66570267    -1.42906311   200.48570010    36.97551185
  2.2921     0.61473989    -1.39962511   318.62383143    42.04498701
  2.3079     0.59915667    -1.38234222   343.64604148    39.73896137
  2.3237     0.52385233    -1.33490578   348.85338712    38.20631621
  2.3395     0.46997600    -1.30511667   362.40773808    36.35912600
  2.3553     0.38404333    -1.26734200   421.62424523    33.48395972
  2.3711     0.39594378    -1.25361756   351.86521961    33.09347996
  2.3868     0.39462200    -1.23769400   331.45486601    31.80672352
  2.4026     0.31690700    -1.20885911   325.43163689    27.57444171
  2.4184     0.27512067    -1.18458911   257.51500131    23.93692972
  2.4342     0.30431922    -1.18502000   319.09322082    28.71591207
  2.4500     0.27527833    -1.15958133   262.82533864    24.14590753
  2.4500     0.19718667    -1.14584444    26.87353885     3.26249143
  2.4707     0.21534667    -1.12894963    29.04129029     3.05906784
  2.4914     0.26287333    -1.12922667    33.27497711     3.12094330
  2.5121     0.21249704    -1.08969333    26.69953416     2.90316427
  2.5328     0.18733407    -1.07142370    22.23175286     2.88198470
  2.5534     0.17035556    -1.05960593    20.84907112     2.42901619
  2.5741     0.17942593    -1.04083704    17.21325676     2.60652914
  2.5948     0.15880222    -1.03258815    14.19311036     2.32036107
  2.6155     0.14895852    -1.00868889    12.98568041     2.23789118
  2.6362     0.15098000    -1.00945333    13.84846435     2.16549472
  2.6569     0.15264741    -0.99164444    14.06528007     2.22242589
  2.6776     0.12910963    -0.97879704     9.77348342     1.87337847
  2.6983     0.16470815    -0.97338370    15.58990998     2.10698281
  2.7190     0.11683852    -0.95303556     7.99009038     1.88714121
  2.7397     0.11845481    -0.93536889     8.36639163     1.93064830
  2.7603     0.11134741    -0.92854667     7.17025217     1.80333321
  2.7810     0.11473778    -0.91747407     7.55574531     1.76579597
  2.8017     0.11238000    -0.90852889     7.25383007     1.80725116
  2.8224     0.11302000    -0.89429185     7.82023332     1.75781624
  2.8431     0.10738296    -0.88668593     6.99776397     1.60227806
  2.8638     0.10783852    -0.87693185     6.60018573     1.61016857
  2.8845     0.09932000    -0.86785185     5.81002374     1.44286229
  2.9052     0.10201556    -0.85865926     5.48125402     1.45820053
  2.9259     0.10482000    -0.84896444     5.93850556     1.55679299
  2.9466     0.10086593    -0.83856593     5.37796202     1.44391132
  2.9672     0.08895556    -0.83207259     4.68941236     1.32642872
  2.9879     0.09298222    -0.82012741     4.66595106     1.40304856
  3.0086     0.08988667    -0.81226519     4.33590667     1.31907628
  3.0293     0.08957111    -0.80798519     4.44540890     1.34564059
  3.0500     0.08562074    -0.79507259     3.97220793     1.26484956
