# T        <|M|>         <E>           chi            C
  1.5500     0.98311704    -1.93995111     0.11303672     0.74115122
  1.5561     0.98282148    -1.93877926     0.11891163     0.80349853
  1.5621     0.98226148    -1.93702963     0.14057138     0.85904610
  1.5682     0.98188963    -1.93563111     0.12432722     0.80381628
  1.5742     0.98151704    -1.93435259     0.12871273     0.82177481
  1.5803     0.98145185    -1.93444889     0.13306295     0.85243210
  1.5864     0.98068519    -1.93161333     0.13432435     0.86127141
  1.5924     0.98028741    -1.93053481     0.14839945     0.87163618
  1.5985     0.97972148    -1.92820296     0.13652311     0.86626088
  1.6045     0.97904889    -1.92637630     0.13999613     0.83249584
  1.6106     0.97892074    -1.92605333     0.14804786     0.88195281
  1.6167     0.97838815    -1.92382074     0.14203641     0.88691271
  1.6227     0.97793556    -1.92280148     0.16975070     0.98206181
  1.6288     0.97709704    -1.92007111     0.16611531     0.95842715
  1.6348     0.97686296    -1.91914815     0.15461288     0.91197033
  1.6409     0.97568148    -1.91558667     0.18116554     1.00105880
  1.6470     0.97589259    -1.91634815     0.18705443     1.02312564
  1.6530     0.97504519    -1.91344889     0.17833212     0.98629512
  1.6591     0.97373185    -1.90976593     0.21525880     1.09920899
  1.6652     0.97413556    -1.91098963     0.20236107     1.05885791
  1.6712     0.97394889    -1.91036444     0.20322569     1.08076177
  1.6773     0.97303111    -1.90678222     0.19378444     1.05425861
  1.6833     0.97137481    -1.90224296     0.21669635     1.07262134
  1.6894     0.97132741    -1.90231259     0.21661438     1.09376693
  1.6955     0.97059037    -1.89992000     0.22343497     1.11984493
  1.7015     0.97022000    -1.89835259     0.22231492     1.12911352
  1.7076     0.96949333    -1.89665630     0.24485875     1.19384165
  1.7136     0.96788296    -1.89195556     0.25507168     1.18382216
  1.7197     0.96778444    -1.89124889     0.26666460     1.21390764
  1.7258     0.96688444    -1.88870963     0.27279615     1.24043425
  1.7318     0.96687630    -1.88820148     0.25324101     1.20760227
  1.7379     0.96574741    -1.88526370     0.29047389     1.23693657
  1.7439     0.96500519    -1.88280444     0.29859776     1.33117314
  1.7500     0.96374444    -1.87949926     0.28757470     1.24221658
  1.7561     0.96288963    -1.87613333     0.27955256     1.32073336
  1.7621     0.96174444    -1.87395407     0.32024928     1.33207980
  1.7682     0.96165704    -1.87398519     0.35968554     1.35782554
  1.7742     0.96106296    -1.87171111     0.35417932     1.44588940
  1.7803     0.95833259    -1.86459704     0.37371608     1.41359403
  1.7864     0.95880148    -1.86466963     0.35915614     1.41957209
  1.7924     0.95818222    -1.86394815     0.42064971     1.47760699
  1.7985     0.95723259    -1.86060889     0.36242693     1.39865305
  1.8045     0.95656963    -1.85927259     0.39927403     1.49515992
  1.8106     0.95404667    -1.85175407     0.41486296     1.52455992
  1.8167     0.95389778    -1.85058667     0.41040234     1.56099174
  1.8227     0.95274296    -1.84940444     0.47229011     1.59116313
  1.8288     0.95149630    -1.84502963     0.46277424     1.58449453
  1.8348     0.95225926    -1.84496444     0.39928376     1.58766655
  1.8409     0.94933630    -1.83918074     0.51347196     1.70245506
  1.8470     0.94809630    -1.83492296     0.48825045     1.70435184
  1.8530     0.94613037    -1.83101333     0.52042175     1.68134580
  1.8591     0.94773926    -1.83407259     0.50499247     1.71200180
  1.8652     0.94544000    -1.82815852     0.51597655     1.67218693
  1.8712     0.94368519    -1.82369778     0.54303048     1.73233338
  1.8773     0.94463852    -1.82438963     0.52699480     1.76891588
  1.8833     0.94307185    -1.82094815     0.55708229     1.69904336
  1.8894     0.94158963    -1.81800296     0.57013143     1.72313691
  1.8955     0.93879926    -1.81120593     0.61403729     1.78153456
  1.9015     0.93748074    -1.80853333     0.60746709     1.76723521
  1.9076     0.93526444    -1.80197926     0.64802806     1.89899127
  1.9136     0.93730741    -1.80462815     0.59027640     1.81475199
  1.9197     0.93503556    -1.80020000     0.65058109     1.93298266
  1.9258     0.93081556    -1.79248593     0.98451136     2.20638142
  1.9318     0.92974815    -1.78922963     0.86891784     2.04925846
  1.9379     0.92777852    -1.78489333     0.94551044     2.23545320
  1.9439     0.92571407    -1.78110370     0.95006609     2.13121952
  1.9500     0.92404963    -1.77731259     0.96301112     2.11633029
  1.9561     0.92494074    -1.77659259     0.93117687     2.19524177
  1.9621     0.92342000    -1.77218815     0.90371605     2.20735949
  1.9682     0.92231037    -1.76963111     0.88768315     2.17886860
  1.9742     0.92026741    -1.76587704     0.93365881     2.07760354
  1.9803     0.91620963    -1.75941630     1.44807019     2.46392374
  1.9864     0.91508000    -1.75323556     1.05257838     2.34307421
  1.9924     0.90674148    -1.74756296     3.53980714     2.80117380
  1.9985     0.91469185    -1.75048741     0.95148409     2.25248654
  2.0045     0.90776444    -1.73834815     1.29534518     2.35169340
  2.0106     0.90739407    -1.73736148     1.34449717     2.46895970
  2.0167     0.90580741    -1.73230519     1.40376980     2.66921698
  2.0227     0.90498074    -1.73121926     1.34087217     2.49679183
  2.0288     0.90031259    -1.72289481     1.77590381     2.71811655
  2.0348     0.89954370    -1.71869926     1.57071344     2.65437918
  2.0409     0.89607852    -1.71482370     1.68945414     2.76459520
  2.0470     0.89466222    -1.71044741     1.76460524     2.68732252
  2.0530     0.89472000    -1.70831111     1.60471537     2.57787049
  2.0591     0.88730815    -1.69512889     1.98671890     2.98907070
  2.0652     0.88679407    -1.69331704     2.00629220     2.92169329
  2.0712     0.88162296    -1.68773630     2.48180480     3.07965644
  2.0773     0.87691333    -1.68035852     2.92304624     3.12060240
  2.0833     0.87809481    -1.67591556     2.26224109     3.07223784
  2.0894     0.87174889    -1.67020444     3.28980439     3.17203206
  2.0955     0.86587852    -1.66102667     4.02648833     3.62516295
  2.1015     0.87850148    -1.67293037     1.89832234     2.89850414
  2.1076     0.87148889    -1.66189778     2.35179281     3.15131988
  2.1136     0.85800889    -1.64456000     3.86714755     3.45461938
  2.1197     0.85608593    -1.63642222     2.93669080     3.43145797
  2.1258     0.85839185    -1.64108593     2.95821858     3.10984710
  2.1318     0.85204296    -1.63196296     4.38491810     3.69548224
  2.1379     0.84356519    -1.62034815     3.84112934     3.31976854
  2.1439     0.81860593    -1.60609333    12.78213422     4.87320367
  2.1500     0.83392889    -1.60682222     5.47851239     3.76228545
  2.1500     0.83429289    -1.60702733    34.02528309    24.27024341
  2.1530     0.83667133    -1.60889333    33.33882911    24.52373568
  2.1561     0.81086656    -1.59431756   135.81799559    29.99149672
  2.1591     0.83144500    -1.60054844    37.70671061    25.90252964
  2.1621     0.81984056    -1.59323978    63.78923647    27.33652013
  2.1652     0.82064633    -1.59155089    58.36142864    28.20285513
  2.1682     0.81568700    -1.58752711    65.35817817    28.31403254
  2.1712     0.81582711    -1.58479556    79.56108018    27.15039675
  2.1742     0.81944944    -1.58539156    47.79239562    26.93526147
  2.1773     0.80973933    -1.57447822    55.84419313    28.44307908
  2.1803     0.80361578    -1.57044844    92.53201360    29.07280942
  2.1833     0.81240300    -1.57225289    44.77779240    26.73486315
  2.1864     0.79777267    -1.56260889    70.71775246    29.56442798
  2.1894     0.79425178    -1.55970467    88.61547436    31.18109075
  2.1924     0.79538067    -1.55618778    71.66495047    29.85749754
  2.1955     0.78684989    -1.55157978    96.32944807    31.39492767
  2.1985     0.79896456    -1.55583556    57.37060414    29.34944476
  2.2015     0.78838356    -1.54853311    76.92941221    29.75436505
  2.2045     0.76966978    -1.53678978   144.36968114    34.03161994
  2.2076     0.76955700    -1.53012356    85.61090401    30.90574646
  2.2106     0.76167889    -1.52737578   150.12209428    36.06585454
  2.2136     0.77849467    -1.53306244    75.69646604    29.12432859
  2.2167     0.76389756    -1.52284822   102.50635747    33.01163501
  2.2197     0.76056322    -1.51963111   108.10506831    32.28245879
  2.2227     0.75029378    -1.51316667   156.88762163    34.32200161
