# T        <|M|>         <E>           chi            C
  1.5500     0.98315852    -1.93982815     0.11668224     0.79194552
  1.5530     0.98285407    -1.93910519     0.12507274     0.81147623
  1.5560     0.98288444    -1.93896741     0.12792611     0.82981159
  1.5590     0.98310667    -1.93950963     0.11837331     0.78001850
  1.5621     0.98318889    -1.93987852     0.11834259     0.81155906
  1.5651     0.98231259    -1.93698667     0.12537330     0.80534707
  1.5681     0.98213185    -1.93621481     0.12058324     0.79904706
  1.5711     0.98208074    -1.93622074     0.11612536     0.75633213
  1.5741     0.98128370    -1.93380148     0.13166635     0.83903520
  1.5771     0.98180741    -1.93509481     0.11429888     0.75291861
  1.5802     0.98111630    -1.93316741     0.12983236     0.83004078
  1.5832     0.98082148    -1.93234370     0.13064929     0.81811121
  1.5862     0.98079926    -1.93202074     0.13091132     0.81130547
  1.5892     0.98054667    -1.93116593     0.13048743     0.79471964
  1.5922     0.98021407    -1.92996889     0.13217232     0.85202755
  1.5952     0.98013259    -1.93000593     0.14355106     0.84589521
  1.5982     0.97989778    -1.92913778     0.13888919     0.85158791
  1.6013     0.98011778    -1.92977926     0.13417573     0.82549565
  1.6043     0.97940593    -1.92724148     0.13696900     0.85928811
  1.6073     0.97928074    -1.92714667     0.14875114     0.92945895
  1.6103     0.97849333    -1.92459556     0.15127720     0.88796854
  1.6133     0.97853037    -1.92474815     0.15453095     0.92771641
  1.6163     0.97889185    -1.92602222     0.14754363     0.89011672
  1.6193     0.97804148    -1.92321481     0.15884202     0.90820120
  1.6224     0.97756963    -1.92164444     0.16409134     0.95346800
  1.6254     0.97715556    -1.92012000     0.16164769     0.94753683
  1.6284     0.97733333    -1.92086370     0.15672879     0.90713650
  1.6314     0.97696074    -1.91957481     0.15412411     0.88944164
  1.6344     0.97703259    -1.91970815     0.16456091     0.97386489
  1.6374     0.97641630    -1.91773630     0.16047857     0.93070403
  1.6405     0.97644444    -1.91810815     0.17144618     0.95992908
  1.6435     0.97613111    -1.91693481     0.16583472     0.96313081
  1.6465     0.97547630    -1.91502370     0.17461418     0.97110831
  1.6495     0.97465259    -1.91346074     0.19785360     1.02530786
  1.6525     0.97489407    -1.91329778     0.18619143     0.94181817
  1.6555     0.97461481    -1.91158667     0.17357416     1.01695189
  1.6585     0.97448889    -1.91183407     0.18414919     0.99113287
  1.6616     0.97452963    -1.91199259     0.20541967     1.08526745
  1.6646     0.97431111    -1.91081778     0.17655671     0.98527925
  1.6676     0.97336000    -1.90810370     0.19401246     1.02866956
  1.6706     0.97234889    -1.90594667     0.23021836     1.09603527
  1.6736     0.97363333    -1.90909185     0.18446073     0.98441302
  1.6766     0.97256519    -1.90503556     0.18394110     1.02976484
  1.6796     0.97196370    -1.90454074     0.21551787     1.07397580
  1.6827     0.97127778    -1.90225037     0.23245488     1.14755607
  1.6857     0.97193037    -1.90362963     0.20278115     1.05354229
  1.6887     0.97043185    -1.90039852     0.27324752     1.20630346
  1.6917     0.97067481    -1.90038074     0.23480145     1.12491309
  1.6947     0.97092889    -1.90014370     0.20015855     1.03177035
  1.6977     0.96955259    -1.89728889     0.23121208     1.11240963
  1.7008     0.96970519    -1.89762519     0.22744687     1.12412448
  1.7038     0.97002074    -1.89737926     0.21401020     1.11806246
  1.7068     0.96910741    -1.89516000     0.23329086     1.14196247
  1.7098     0.96892444    -1.89457926     0.23669677     1.14816508
  1.7128     0.96884148    -1.89431556     0.26326198     1.26607125
  1.7158     0.96853111    -1.89319407     0.23574401     1.15028265
  1.7188     0.96720963    -1.88996593     0.26168677     1.20272398
  1.7219     0.96734444    -1.88997630     0.24617238     1.16504245
  1.7249     0.96743333    -1.88976889     0.23535747     1.15689498
  1.7279     0.96611704    -1.88820296     0.33756114     1.32491858
  1.7309     0.96694000    -1.88794667     0.25312157     1.24423435
  1.7339     0.96595630    -1.88591407     0.28782890     1.32458152
  1.7369     0.96546222    -1.88438370     0.27672175     1.25922305
  1.7399     0.96474593    -1.88229778     0.27832352     1.21241637
  1.7430     0.96467111    -1.88282815     0.28810473     1.24219819
  1.7460     0.96461481    -1.88147407     0.27190335     1.26770729
  1.7490     0.96478741    -1.88199259     0.27827307     1.22301328
  1.7520     0.96339852    -1.87826815     0.31303283     1.25625663
  1.7550     0.96227704    -1.87573037     0.32668341     1.36365817
  1.7580     0.96262519    -1.87596889     0.29992695     1.30799021
  1.7611     0.96249185    -1.87617333     0.29747928     1.28573900
  1.7641     0.96237481    -1.87451556     0.28947171     1.29807701
  1.7671     0.96195778    -1.87323259     0.32563447     1.45868926
  1.7701     0.96115333    -1.87132296     0.30668984     1.33487143
  1.7731     0.96099185    -1.87145778     0.40836599     1.37217837
  1.7761     0.95917556    -1.86751407     0.37658004     1.42470601
  1.7791     0.96112296    -1.87049778     0.31082536     1.38122744
  1.7822     0.96028370    -1.86838519     0.30570426     1.33606046
  1.7852     0.95909111    -1.86563556     0.33162857     1.40914922
  1.7882     0.95891926    -1.86423704     0.35176701     1.44782410
  1.7912     0.95898815    -1.86483704     0.35215277     1.47414862
  1.7942     0.95721185    -1.86104296     0.36347542     1.35984476
  1.7972     0.95784963    -1.86177185     0.35601726     1.42769440
  1.8003     0.95714815    -1.86000148     0.36551707     1.42634758
  1.8033     0.95688222    -1.85880444     0.33784204     1.36592585
  1.8063     0.95475926    -1.85444296     0.40921578     1.54027988
  1.8093     0.95531778    -1.85514963     0.40288448     1.47676274
  1.8123     0.95468667    -1.85409926     0.41429396     1.51736442
  1.8153     0.95384815    -1.85213481     0.44725013     1.60116032
  1.8183     0.95384815    -1.85030222     0.39374447     1.53704725
  1.8214     0.95485704    -1.85215111     0.37250853     1.48573499
  1.8244     0.95402815    -1.84958519     0.38783100     1.53059429
  1.8274     0.95282148    -1.84820593     0.41016110     1.47779439
  1.8304     0.95242296    -1.84651259     0.40873974     1.56248280
  1.8334     0.95051407    -1.84275556     0.50474165     1.61084356
  1.8364     0.95274074    -1.84653185     0.40213913     1.53863859
  1.8394     0.94945556    -1.83949481     0.47704384     1.63156293
  1.8425     0.95108296    -1.84283111     0.42563126     1.54653750
  1.8455     0.94932889    -1.83791852     0.47806673     1.64236578
  1.8485     0.95004000    -1.83949333     0.42715438     1.60053413
  1.8515     0.94911778    -1.83734370     0.46633053     1.58800739
  1.8545     0.94817778    -1.83478074     0.47012100     1.67202967
  1.8575     0.94772741    -1.83272741     0.46643700     1.63662353
  1.8606     0.94580444    -1.82965926     0.52997101     1.74943444
  1.8636     0.94618148    -1.83011556     0.59546702     1.86917691
  1.8666     0.94600667    -1.82963111     0.51868915     1.66735104
  1.8696     0.94427259    -1.82507111     0.56774253     1.78150589
  1.8726     0.94486889    -1.82560593     0.50766772     1.68012052
  1.8756     0.94170370    -1.81917037     0.58999122     1.77928693
  1.8786     0.94359778    -1.82187704     0.51719774     1.70902354
  1.8817     0.94278815    -1.82099259     0.58368674     1.81570023
  1.8847     0.94222000    -1.81889333     0.53882742     1.68528260
  1.8877     0.94072000    -1.81540741     0.58708645     1.86487352
  1.8907     0.94002148    -1.81416148     0.68808800     1.97528642
  1.8937     0.93917556    -1.81067259     0.61519743     1.94767773
  1.8967     0.93952815    -1.81251407     0.61258305     1.82169045
  1.8997     0.93808296    -1.80911259     0.63116424     1.89880662
  1.9028     0.93919185    -1.81098074     0.65195339     1.80121362
  1.9058     0.93813852    -1.80804148     0.62574697     1.90562001
  1.9088     0.93742519    -1.80623259     0.62403530     1.93605146
  1.9118     0.93503259    -1.80199259     0.80885758     2.04458564
  1.9148     0.93493630    -1.80022074     0.72841207     2.00437048
  1.9178     0.93472963    -1.80028741     0.69566619     1.95408453
  1.9209     0.93313556    -1.79720296     0.77949955     2.00130719
  1.9239     0.93126000    -1.79163852     0.74471886     1.95479642
  1.9269     0.93302593    -1.79503704     0.63010056     1.83189636
  1.9299     0.93049481    -1.79091556     0.75146270     1.93268102
  1.9329     0.93157556    -1.79147111     0.79238953     2.07519196
  1.9359     0.93102963    -1.79143704     0.81727470     2.00891638
  1.9389     0.92656889    -1.78258963     0.90518532     2.02237074
  1.9420     0.92662000    -1.78328593     0.97079704     2.08684449
  1.9450     0.92612963    -1.78269333     1.02761722     2.22634236
  1.9480     0.92775333    -1.78148148     0.76944341     2.02678012
  1.9510     0.92870296    -1.78456444     0.83034966     2.08110719
  1.9540     0.92489852    -1.77576296     0.87248501     2.12298236
  1.9570     0.92257259    -1.77398667     1.15133711     2.19127862
  1.9601     0.92235630    -1.77255556     0.94900463     2.09780987
  1.9631     0.92281926    -1.77148000     0.90044293     2.05529436
  1.9661     0.92179481    -1.76927852     0.96788282     2.19044312
  1.9691     0.92169111    -1.76903704     1.00747267     2.37677766
  1.9721     0.92070370    -1.76548296     1.04307871     2.43797476
