# T        <M>         <E>           chi            C            frac_acept
  1.5500     0.98332160    -1.94066557     0.29478120     1.81917182     0.01668366
  1.5520     0.98338432    -1.94075771     0.27342645     1.82339844     0.01649130
  1.5540     0.98336192    -1.94060923     0.27484936     1.83729751     0.01661676
  1.5560     0.98270464    -1.93853953     0.28772970     1.87182055     0.01706581
  1.5580     0.98297472    -1.93910012     0.26219589     1.80224211     0.01686993
  1.5600     0.98257856    -1.93804931     0.29318802     1.89929657     0.01724217
  1.5620     0.98222208    -1.93690755     0.30305540     1.94111754     0.01750398
  1.5640     0.98229888    -1.93696260     0.29352902     1.92011854     0.01728506
  1.5660     0.98283648    -1.93867388     0.28674447     1.88844329     0.01714871
  1.5680     0.98227072    -1.93688708     0.28309229     1.88394108     0.01773091
  1.5700     0.98217472    -1.93611137     0.28649825     1.92033912     0.01775523
  1.5720     0.98193664    -1.93565309     0.30298196     1.96003220     0.01792358
  1.5740     0.98126464    -1.93372669     0.33041721     2.04495957     0.01837167
  1.5760     0.98135808    -1.93407359     0.31593028     1.98891783     0.01820492
  1.5780     0.98166016    -1.93492863     0.31644379     2.04430777     0.01819372
  1.5800     0.98133952    -1.93355523     0.30100516     1.93229226     0.01835983
  1.5820     0.98061888    -1.93146619     0.31885646     1.97030524     0.01888346
  1.5840     0.98118848    -1.93328636     0.30394641     1.93940825     0.01865429
  1.5860     0.98065984    -1.93145092     0.30215596     1.92892864     0.01899932
  1.5880     0.98068672    -1.93172480     0.34090755     2.09766222     0.01900348
  1.5900     0.98055488    -1.93127168     0.32778200     2.00397308     0.01929506
  1.5920     0.98000704    -1.92937858     0.34246510     2.14439106     0.01951046
  1.5940     0.98042048    -1.93094914     0.33065410     2.00722944     0.01938148
  1.5960     0.98032384    -1.93066365     0.33595516     2.04918303     0.01952358
  1.5980     0.97992768    -1.92894715     0.31744866     2.03374252     0.02000240
  1.6000     0.97954240    -1.92779141     0.34723586     2.14852061     0.02015475
  1.6020     0.97928128    -1.92703871     0.33555029     2.04285439     0.02036663
  1.6040     0.97881152    -1.92619523     0.39295436     2.19532094     0.02067069
  1.6060     0.97916992    -1.92682365     0.37320057     2.15324758     0.02063165
  1.6080     0.97877504    -1.92573827     0.36748965     2.13345172     0.02095555
  1.6100     0.97875392    -1.92552704     0.36546195     2.18221452     0.02096067
  1.6120     0.97882048    -1.92565375     0.37864870     2.25684679     0.02098436
  1.6140     0.97827776    -1.92389251     0.37196721     2.14966904     0.02136427
  1.6160     0.97784768    -1.92314114     0.42439247     2.30670695     0.02169618
  1.6180     0.97811392    -1.92339461     0.36633386     2.18933269     0.02150382
  1.6200     0.97791168    -1.92239103     0.36271748     2.18472228     0.02178164
  1.6220     0.97794816    -1.92235644     0.35586262     2.20528132     0.02185589
  1.6240     0.97719872    -1.92122623     0.43829137     2.30511396     0.02210906
  1.6260     0.97694272    -1.91976443     0.41094204     2.35927157     0.02256803
  1.6280     0.97684416    -1.91906812     0.40140301     2.38004627     0.02279752
  1.6300     0.97702400    -1.91936001     0.39179917     2.38395435     0.02263141
  1.6320     0.97663744    -1.91871876     0.41264154     2.34676069     0.02281352
  1.6340     0.97640704    -1.91812101     0.40881128     2.25093997     0.02309262
  1.6360     0.97607168    -1.91743745     0.49244148     2.46915271     0.02346613
  1.6380     0.97607040    -1.91709566     0.42382306     2.35572140     0.02322513
  1.6400     0.97588032    -1.91640960     0.41348525     2.32405527     0.02339892
  1.6420     0.97627904    -1.91739646     0.40772320     2.31852140     0.02337812
  1.6440     0.97641344    -1.91782523     0.40375434     2.26759310     0.02347798
  1.6460     0.97632768    -1.91707008     0.39840428     2.34267322     0.02365049
  1.6480     0.97530112    -1.91451649     0.43811793     2.36850783     0.02406241
  1.6500     0.97565888    -1.91598850     0.43875183     2.36848982     0.02394335
  1.6520     0.97520512    -1.91368193     0.42814170     2.39325557     0.02446441
  1.6540     0.97518080    -1.91377795     0.40840828     2.28807947     0.02459500
  1.6560     0.97464000    -1.91239173     0.46938312     2.55309879     0.02479056
  1.6580     0.97444032    -1.91146879     0.45786652     2.41242406     0.02512631
  1.6600     0.97436416    -1.91177471     0.47932396     2.44913110     0.02507574
  1.6620     0.97434560    -1.91113471     0.42762432     2.42569161     0.02516023
  1.6640     0.97337088    -1.90799485     0.46363034     2.51282305     0.02598472
  1.6660     0.97414528    -1.91030653     0.44665607     2.49464663     0.02545469
  1.6680     0.97335360    -1.90835454     0.47015393     2.45879595     0.02614795
  1.6700     0.97259904    -1.90638722     0.51254568     2.50500105     0.02656595
  1.6720     0.97319936    -1.90778884     0.47155150     2.55312139     0.02608234
  1.6740     0.97280576    -1.90614528     0.44972002     2.48758871     0.02675639
  1.6760     0.97253184    -1.90546557     0.48625825     2.60505081     0.02687802
  1.6780     0.97251008    -1.90586757     0.52487723     2.62917363     0.02672182
  1.6800     0.97204864    -1.90420475     0.50872705     2.65957768     0.02725537
  1.6820     0.97241344    -1.90469761     0.47658426     2.56067628     0.02708222
  1.6840     0.97192000    -1.90412034     0.53541992     2.61438636     0.02723873
  1.6860     0.97192640    -1.90357250     0.51105361     2.65692183     0.02753511
  1.6880     0.97096832    -1.90062595     0.51581447     2.67971088     0.02822933
  1.6900     0.97129600    -1.90176642     0.51475380     2.66499078     0.02810418
  1.6920     0.97095872    -1.90118787     0.52664570     2.62205504     0.02817363
  1.6940     0.97082240    -1.90042623     0.50675996     2.61277373     0.02851898
  1.6960     0.97021696    -1.89821313     0.55616337     2.83806285     0.02909862
  1.6980     0.97065152    -1.89956860     0.51725423     2.67504801     0.02866301
  1.7000     0.96952000    -1.89703037     0.60215333     2.91689833     0.02967153
  1.7020     0.96983104    -1.89764734     0.53927773     2.62891209     0.02939212
  1.7040     0.96890368    -1.89484283     0.59759254     2.85692243     0.03002489
  1.7060     0.96861568    -1.89435005     0.58850897     2.77623768     0.03040672
  1.7080     0.96841600    -1.89372028     0.64544989     2.95623436     0.03030302
  1.7100     0.96835456    -1.89312639     0.60139757     2.93044246     0.03058180
  1.7120     0.96838592    -1.89344388     0.62668098     2.79087194     0.03050978
  1.7140     0.96821888    -1.89270526     0.58160136     2.73570786     0.03088138
  1.7160     0.96824576    -1.89265406     0.60770981     2.91131999     0.03092266
  1.7180     0.96826112    -1.89261182     0.58475479     2.81215483     0.03094347
  1.7200     0.96776064    -1.89123717     0.59296707     2.79128809     0.03133811
  1.7220     0.96804160    -1.89179392     0.63933785     3.00616856     0.03105581
  1.7240     0.96737280    -1.89027201     0.64750606     3.03444227     0.03185853
  1.7260     0.96646528    -1.88753154     0.69501087     3.09407447     0.03237704
  1.7280     0.96675072    -1.88836091     0.65827644     3.06475678     0.03204993
  1.7300     0.96628160    -1.88710018     0.65574654     2.91094899     0.03255019
  1.7320     0.96610112    -1.88553851     0.65893493     3.16337264     0.03305237
  1.7340     0.96660096    -1.88724996     0.58957504     2.82608522     0.03259884
  1.7360     0.96642240    -1.88670715     0.64221506     3.07972106     0.03297940
  1.7380     0.96619200    -1.88577028     0.60643103     2.93244064     0.03281744
  1.7400     0.96509760    -1.88369412     0.71271558     2.99292290     0.03349694
  1.7420     0.96504704    -1.88337148     0.67318946     3.00225789     0.03368354
  1.7440     0.96464128    -1.88194043     0.69612860     3.13630726     0.03411786
  1.7460     0.96433536    -1.88104318     0.70317339     3.13705922     0.03448690
  1.7480     0.96415936    -1.88050304     0.73739579     3.22445071     0.03470070
  1.7500     0.96290496    -1.87849851     0.79782330     3.10036324     0.03534723
  1.7520     0.96326400    -1.87817985     0.74170665     3.12431049     0.03529826
  1.7540     0.96343680    -1.87797372     0.71076903     3.21965596     0.03540036
  1.7560     0.96351360    -1.87782400     0.69538593     3.23460259     0.03538180
  1.7580     0.96271552    -1.87677825     0.78519680     3.28907840     0.03588910
  1.7600     0.96147008    -1.87320445     0.80025750     3.33445720     0.03667069
  1.7620     0.96224960    -1.87579392     0.94480829     3.23706861     0.03597103
  1.7640     0.96182080    -1.87379964     0.77373442     3.35124943     0.03671678
  1.7660     0.96240064    -1.87463298     0.66901566     3.03515097     0.03664029
  1.7680     0.96143680    -1.87266559     0.76529180     3.22214647     0.03716551
  1.7700     0.95995328    -1.86951681     0.84548934     3.33145295     0.03814523
  1.7720     0.96113280    -1.87101574     0.76671680     3.20418201     0.03745261
  1.7740     0.96128128    -1.87191684     0.76829444     3.16932997     0.03752623
  1.7760     0.96054080    -1.86928515     0.75004081     3.30734449     0.03789654
  1.7780     0.96014208    -1.86868484     0.78992883     3.30583190     0.03839328
  1.7800     0.95988160    -1.86762110     0.80500858     3.38485850     0.03868006
  1.7820     0.95946112    -1.86730626     0.89642751     3.48211673     0.03885577
  1.7840     0.95893696    -1.86511228     0.83197242     3.39033905     0.03954167
  1.7860     0.95893888    -1.86647939     0.99561310     3.32683769     0.03920720
  1.7880     0.95882176    -1.86440834     0.83494538     3.37759180     0.03961752
